Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
edu.umd.cs.findbugs.ba.ReversePostOrder,,,,,1,0,4.9E-324,2
edu.umd.cs.findbugs.ba.SignatureConverter,66,69,0,5,2,0,0.011715416925872375,2
edu.umd.cs.findbugs.ba.SignatureParser,64,79,66,5,2,0,0.008813401231232,7
edu.umd.cs.findbugs.ba.SimplePathEnumerator,0,55,71,0,1,0,0.008649497950443133,2
edu.umd.cs.findbugs.ba.SourceFile,12,69,75,20,2,0,0.009629203345594875,3
edu.umd.cs.findbugs.ba.SourceFileDataSource,,,,0,2,0,0.009222438446569083,4
edu.umd.cs.findbugs.ba.SourceFinder,9,71,67,10,2,1,0.007866973138571152,20
edu.umd.cs.findbugs.ba.SourceInfoMap,28,72,75,44,1,0,0.017256152976657665,4
edu.umd.cs.findbugs.ba.StackDepth,0,0,0,100,1,0,0.009629825956356568,2
edu.umd.cs.findbugs.ba.StackDepthAnalysis,19,67,60,33,4,0,0.008971371785632879,2
edu.umd.cs.findbugs.ba.StaticField,1,100,,0,2,0,0.011593939373175384,1
edu.umd.cs.findbugs.ba.Target,0,33,100,0,1,0,0.008920533595220556,3
edu.umd.cs.findbugs.ba.TargetEnumeratingVisitor,8,69,82,33,1,0,0.007677000564485253,2
edu.umd.cs.findbugs.ba.TestCaseDetector,,0,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.ba.URLClassPath,16,78,62,14,4,2,0.0065782141606637754,3
edu.umd.cs.findbugs.ba.URLClassPathRepository,1,64,47,53,1,0,0.008573286473609972,3
edu.umd.cs.findbugs.ba.UnresolvedXField,,,,0,9,1,0.009006815861899324,5
edu.umd.cs.findbugs.ba.UnresolvedXMethod,,,,0,19,1,0.008416368955229932,19
edu.umd.cs.findbugs.ba.XClass,,,,0,14,0,0.0092652276796533,7
edu.umd.cs.findbugs.ba.XFactory,973,95,86,1,12,0,0.005009494283216305,13
edu.umd.cs.findbugs.ba.XField,,,,0,3,0,0.010497802990287646,3
edu.umd.cs.findbugs.ba.XMethod,,,,0,16,0,0.010029509575389188,17
edu.umd.cs.findbugs.ba.XMethodParameter,0,14,20,93,1,0,0.014937290344945347,2
edu.umd.cs.findbugs.ba.ZipSourceFileDataSource,0,22,67,100,1,1,0.007069200337246254,3
edu.umd.cs.findbugs.ba.MethodHashTest,0,63,71,100,1,0,0.008851601003202652,2
edu.umd.cs.findbugs.ba.SignatureParserTest,0,33,50,0,1,0,0.008372378830939395,2
edu.umd.cs.findbugs.ba.bcp.Binding,0,25,50,67,1,0,0.009629825956356568,2
edu.umd.cs.findbugs.ba.bcp.BindingSet,0,0,0,0,1,0,0.011876794538184262,2
edu.umd.cs.findbugs.ba.bcp.ByteCodePattern,18,78,86,10,2,0,0.009906129266449851,2
edu.umd.cs.findbugs.ba.bcp.ByteCodePatternMatch,0,56,83,30,1,0,0.009131542133953122,3
edu.umd.cs.findbugs.ba.bcp.FieldAccess,4,50,,,2,0,0.01020592077518085,2
edu.umd.cs.findbugs.ba.bcp.FieldVariable,2,56,70,47,1,1,0.008722559513251451,3
edu.umd.cs.findbugs.ba.bcp.IfNull,,,,0,3,2,0.006018950969768335,2
edu.umd.cs.findbugs.ba.bcp.Invoke,19,83,,0,4,5,0.00610731971398409,5
edu.umd.cs.findbugs.ba.bcp.Load,,,,0,2,2,0.006049377996913803,2
edu.umd.cs.findbugs.ba.bcp.LocalVariable,0,0,0,100,1,1,0.008706765716111509,2
edu.umd.cs.findbugs.ba.bcp.LongOrDoubleLocalVariable,0,0,,0,1,1,0.008372378830939397,2
edu.umd.cs.findbugs.ba.bcp.MatchAny,9,43,0,20,4,4,0.006314185509030625,3
edu.umd.cs.findbugs.ba.bcp.MatchResult,0,33,100,0,1,0,0.010920453887714477,2
edu.umd.cs.findbugs.ba.bcp.Monitorenter,,,,0,2,1,0.006663939496466954,2
edu.umd.cs.findbugs.ba.bcp.New,,,,0,2,1,0.006978679813048211,2
edu.umd.cs.findbugs.ba.bcp.OneVariableInstruction,0,0,,,1,0,0.009145062505243728,2
edu.umd.cs.findbugs.ba.bcp.Opcode,8,60,,0,4,4,0.01025566021134998,2
edu.umd.cs.findbugs.ba.bcp.PatternElement,110,89,91,5,10,0,0.007267310734429024,3
