Component, LCOM2, LCOM3, LCOM5, TCC, CBO, LCOM4, LOC, LCbC_MM, LCbC_XScan, MWE, CC
org.gjt.sp.jedit.bsh.Token,1,94,,0,0,2,11,1,0,0.011146496815286623,0
org.gjt.sp.jedit.bsh.TokenMgrError,15,97,,0,0,4,63,1,0,0.012915439331095286,0
org.gjt.sp.jedit.bsh.Types,51,92,90,0,1,2,316,1,0,0.02031461229277209,0
org.gjt.sp.jedit.bsh.UtilEvalError,,,,0,0,3,21,1,0,0.012544802867383513,0
org.gjt.sp.jedit.bsh.UtilTargetError,1,33,,0,0,1,17,1,0,0.012110726643598612,0
org.gjt.sp.jedit.bsh.Variable,26,76,83,24,2,1,73,1,0,0.012937951221418706,0
org.gjt.sp.jedit.bsh.XThis,6,75,,0,0,4,33,1,1,0.013232879794136723,0
org.gjt.sp.jedit.bsh.classpath.BshClassLoader,19,71,,0,3,2,98,1,0,0.014586714588520764,0
org.gjt.sp.jedit.bsh.classpath.BshClassPath,1022,93,92,4,3,1,488,1,0,0.015885214125635528,0
org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl,77,82,84,43,4,2,323,1,1,0.017327157127960555,0
org.gjt.sp.jedit.bsh.classpath.ClassPathListener,,,,0,0,1,1,1,0,4.9E-324,0
org.gjt.sp.jedit.bsh.classpath.DiscreteFilesClassLoader,0,0,0,100,3,1,23,1,0,0.016504419852825827,0
org.gjt.sp.jedit.bsh.collection.CollectionIterator,0,25,0,100,0,1,30,1,2,0.012910793202099919,0
org.gjt.sp.jedit.bsh.collection.CollectionManagerImpl,,,,0,0,4,25,1,0,0.01777530582855867,0
org.gjt.sp.jedit.bsh.commands.dir,3,67,,0,1,3,72,1,0,0.01142662767019284,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.ByteVector,0,9,0,100,0,1,139,0,0,0.014143582416101506,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassVisitor,,,,0,0,5,5,0,0,0.013011152416356881,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassWriter,19,93,92,20,3,3,765,0,0,0.009724528839233802,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor,,,,0,0,17,17,0,0,0.028780220768491155,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeWriter,0,84,82,90,5,2,1560,0,0,0.10083192806121132,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.Constants,,,,,0,0,0,0,0,-2.0,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.Edge,,,,,0,0,0,0,0,-2.0,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.Item,0,60,64,,0,2,90,0,0,0.012683148423674228,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.Label,2,75,50,,1,2,98,0,0,0.043151259383076096,0
org.gjt.sp.jedit.bsh.org.objectweb.asm.Type,179,88,85,6,0,2,282,0,0,0.010348383024183644,0
org.gjt.sp.jedit.bsh.reflect.ReflectManagerImpl,,,,0,0,1,8,1,0,4.9E-324,0
org.gjt.sp.jedit.buffer.BufferAdapter,,,,0,0,8,15,3,8,0.013255648111761737,2
org.gjt.sp.jedit.buffer.BufferChangeAdapter,,,,0,0,7,12,4,0,0.0175506009724184,1
org.gjt.sp.jedit.buffer.BufferChangeListener,,,,0,0,7,7,4,8,0.014401159778259967,1
org.gjt.sp.jedit.buffer.BufferListener,,,,0,0,8,8,5,0,0.01747567229752,1
