Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
net.sf.freecol.client.gui.panel.UnitButton,,,,,3,0,0.017602611365256177,5
net.sf.freecol.client.gui.panel.UnitLabel,32,76,71,36,2,0,0.01105551846955913,65
net.sf.freecol.client.gui.panel.VictoryPanel,0,48,100,0,1,2,0.016171046512377787,15
net.sf.freecol.client.gui.panel.WarehouseDialog,0,71,92,33,1,1,0.007095974770859819,14
net.sf.freecol.client.gui.plaf.FreeColBrightPanelUI,1,50,,0,2,0,0.06671711224596906,6
net.sf.freecol.client.gui.plaf.FreeColButtonUI,,,,0,3,0,0.09029280788607755,6
net.sf.freecol.client.gui.plaf.FreeColCheckBoxUI,,,,0,3,0,0.047670585556887364,3
net.sf.freecol.client.gui.plaf.FreeColComboBoxRenderer,,0,,0,1,0,4.9E-324,6
net.sf.freecol.client.gui.plaf.FreeColComboBoxUI,,,,0,3,0,0.04900625813239171,3
net.sf.freecol.client.gui.plaf.FreeColLabelUI,,,,0,3,0,0.054084564958167894,2
net.sf.freecol.client.gui.plaf.FreeColListUI,,,,0,3,0,0.07191230411426273,7
net.sf.freecol.client.gui.plaf.FreeColLookAndFeel,8,88,,0,3,0,0.07995808073803443,22
net.sf.freecol.client.gui.plaf.FreeColMenuBarUI,1,50,,0,2,0,0.05278679469397583,6
net.sf.freecol.client.gui.plaf.FreeColMenuItemUI,,,,0,3,0,0.05185104728123593,3
net.sf.freecol.client.gui.plaf.FreeColPanelUI,3,67,,0,3,0,0.07323858928599584,6
net.sf.freecol.client.gui.plaf.FreeColPopupMenuUI,1,50,,0,2,0,0.0643329900461021,6
net.sf.freecol.client.gui.plaf.FreeColRadioButtonUI,,,,0,3,0,0.05290881354603381,3
net.sf.freecol.client.gui.plaf.FreeColScrollPaneUI,,,,0,3,0,0.05654362741907058,3
net.sf.freecol.client.gui.plaf.FreeColTableHeaderUI,,,,0,3,0,0.04692113422033905,3
net.sf.freecol.client.gui.plaf.FreeColTableUI,,,,0,3,0,0.05241946483059414,3
