Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
org.apache.catalina.core.ApplicationRequest,1,71,60,100,1,1,0.04432757472337891,8
org.apache.catalina.core.ApplicationResponse,3,65,0,67,3,1,0.007722687314432315,8
org.apache.catalina.core.AprLifecycleListener,25,83,91,20,1,1,0.005030212709336167,40
org.apache.catalina.core.Constants,,,,,0,0,-2.0,4
org.apache.catalina.core.ContainerBase,1728,93,94,13,6,11,0.021338831447061255,68
org.apache.catalina.core.DummyRequest,6885,98,94,0,110,1,0.006033145181532729,2
org.apache.catalina.core.DummyResponse,,,,0,68,10,0.006776546313723048,4
org.apache.catalina.core.JasperListener,,50,,0,1,1,4.9E-324,7
org.apache.catalina.core.JreMemoryLeakPreventionListener,12,74,83,33,1,1,0.0053119509960066974,31
org.apache.catalina.core.NamingContextListener,49,74,74,49,1,2,0.020453896491271356,25
org.apache.catalina.core.StandardContext,34023,99,99,1,49,8,0.031876986821505505,217
org.apache.catalina.core.StandardContextValve,8,73,83,17,2,2,0.005702876618696795,20
org.apache.catalina.core.StandardEngine,283,87,84,9,11,8,0.03773835375432863,33
org.apache.catalina.core.StandardEngineValve,3,67,100,0,3,2,0.006231015949816108,5
org.apache.catalina.core.StandardHost,803,95,95,4,18,8,0.016432871731644663,37
org.apache.catalina.core.StandardHostValve,19,81,83,0,2,2,0.006042555730169955,27
org.apache.catalina.core.StandardPipeline,49,73,74,48,3,7,0.006744574212702336,13
org.apache.catalina.core.StandardServer,504,93,92,13,7,7,0.0057600604812667565,38
org.apache.catalina.core.StandardService,310,88,87,21,5,11,0.004911742008102135,29
org.apache.catalina.core.StandardThreadExecutor,181,86,89,26,5,5,0.020821232810039097,13
org.apache.catalina.core.StandardWrapper,2880,96,96,5,17,5,0.03439561552632069,57
org.apache.catalina.core.StandardWrapperFacade,0,40,50,100,1,0,0.008221680876979295,6
org.apache.catalina.core.StandardWrapperValve,51,77,80,26,3,2,0.004290466693541747,22
org.apache.catalina.deploy.ApplicationParameter,12,67,75,33,3,0,0.009443861490031479,3
org.apache.catalina.deploy.ContextEjb,3,57,66,43,1,0,0.009281540048126504,4
org.apache.catalina.deploy.ContextEnvironment,46,78,84,23,4,0,0.009048257372654156,4
org.apache.catalina.deploy.ContextHandler,36,71,75,27,2,0,0.05938326073149438,6
org.apache.catalina.deploy.ContextLocalEjb,3,57,66,43,1,0,0.00920245398773006,4
org.apache.catalina.deploy.ContextResource,0,40,50,60,1,2,0.009361997226074897,7
org.apache.catalina.deploy.ContextResourceEnvRef,0,0,0,100,3,2,0.009281540048126502,4
org.apache.catalina.deploy.ContextResourceLink,1,33,0,33,1,0,0.009361997226074894,4
org.apache.catalina.deploy.ContextService,145,82,83,21,3,2,0.0675836218721386,6
org.apache.catalina.deploy.ContextTransaction,7,57,60,40,3,0,0.08673614997128945,6
org.apache.catalina.deploy.ErrorPage,4,58,66,43,1,0,0.008579603230698694,7
org.apache.catalina.deploy.FilterDef,83,85,90,10,6,0,0.05562181449473498,8
org.apache.catalina.deploy.FilterMap,31,86,95,22,2,0,0.009882649881774914,9
org.apache.catalina.deploy.LoginConfig,31,73,75,33,2,0,0.00816881576378547,6
org.apache.catalina.deploy.MessageDestination,25,73,80,27,1,0,0.009124704291990538,4
org.apache.catalina.deploy.MessageDestinationRef,46,78,84,23,2,0,0.009530349117926057,4
org.apache.catalina.deploy.NamingResources,358,85,87,28,4,0,0.2746180723927061,21
org.apache.catalina.deploy.ResourceBase,46,80,87,16,4,0,0.07076364746599316,10
org.apache.catalina.deploy.SecurityCollection,84,78,79,23,4,0,0.008899143045484509,6
org.apache.catalina.deploy.SecurityConstraint,117,83,86,20,5,0,0.008384545018396214,9
org.apache.catalina.deploy.SecurityRoleRef,0,40,50,60,1,0,0.009786154403769483,4
org.apache.catalina.ha.CatalinaCluster,190,100,,0,20,0,0.009730710521392696,8
org.apache.catalina.ha.ClusterDeployer,21,100,,0,7,0,0.008178261030517102,10
org.apache.catalina.ha.ClusterListener,34,89,50,4,8,4,0.006734846595160888,9
org.apache.catalina.ha.ClusterManager,,,,0,15,0,0.00868446445802509,6
org.apache.catalina.ha.ClusterMessage,,,,0,6,0,0.009361997226074894,6
org.apache.catalina.ha.ClusterMessageBase,15,71,80,20,4,0,0.008826413860738801,7
org.apache.catalina.ha.ClusterRuleSet,1,33,,0,2,1,0.007802364859902699,8
org.apache.catalina.ha.ClusterSession,,,,0,2,0,0.008899143045484509,4
org.apache.catalina.ha.ClusterValve,,,,0,2,0,0.00961196155215379,5
org.apache.catalina.ha.Constants,,,,,0,0,-2.0,2
org.apache.catalina.ha.authenticator.ClusterSingleSignOn,95,76,67,13,4,3,0.010284360227229127,12
org.apache.catalina.ha.authenticator.ClusterSingleSignOnListener,9,64,62,30,4,2,0.007833857304892559,9
org.apache.catalina.ha.authenticator.SingleSignOnMessage,199,93,94,5,5,0,0.006819904016165696,6
org.apache.catalina.ha.context.ReplicatedContext,18,75,75,18,3,5,0.031092979111458485,12
org.apache.catalina.ha.deploy.FarmWarDeployer,642,92,92,11,6,2,0.031093821994557316,27
org.apache.catalina.ha.deploy.FileChangeListener,,,,0,2,0,0.009698275862068966,2
org.apache.catalina.ha.deploy.FileMessage,83,85,91,9,4,0,0.007189119288012463,7
org.apache.catalina.ha.deploy.FileMessageFactory,10,72,81,13,1,0,0.027726230963412663,12
org.apache.catalina.ha.deploy.UndeployMessage,86,83,92,8,4,0,0.008197595892799382,8
org.apache.catalina.ha.deploy.WarWatcher,8,67,75,47,2,0,0.04327681759126142,9
org.apache.catalina.ha.session.BackupManager,438,89,81,6,16,10,0.012435142470998278,35
org.apache.catalina.ha.session.ClusterManagerBase,,,,0,3,0,0.006376948512045347,26
org.apache.catalina.ha.session.ClusterSessionListener,6,75,,0,4,3,0.009327535017144733,11
org.apache.catalina.ha.session.Constants,,,,,0,0,-2.0,2
org.apache.catalina.ha.session.DeltaManager,3235,95,95,5,19,14,0.0060136030460574905,74
org.apache.catalina.ha.session.DeltaRequest,63,83,85,38,3,0,0.005444643506067269,12
org.apache.catalina.ha.session.DeltaSession,1183,93,85,3,14,4,0.029972609080361853,34
org.apache.catalina.ha.session.JvmRouteBinderValve,121,81,83,20,2,7,0.010896102027053338,18
org.apache.catalina.ha.session.JvmRouteSessionIDBinderListener,19,81,89,7,6,3,0.008109742931821423,8
org.apache.catalina.ha.session.ReplicatedSession,333,91,84,1,13,4,0.006777108433734942,2
org.apache.catalina.ha.session.SerializablePrincipal,67,84,91,11,2,0,0.005922351392849308,10
org.apache.catalina.ha.session.SessionIDMessage,56,83,88,8,1,0,0.007379065318393004,7
org.apache.catalina.ha.session.SessionMessage,10,100,,0,5,0,0.007533482142857144,7
org.apache.catalina.ha.session.SessionMessageImpl,52,82,94,7,3,0,0.00742982938910292,10
org.apache.catalina.ha.session.SimpleTcpReplicationManager,471,93,93,7,9,9,0.022514261090938986,4
org.apache.catalina.ha.tcp.Constants,,,,,0,0,-2.0,4
org.apache.catalina.ha.tcp.ReplicationValve,460,89,91,7,4,3,0.0033497683567159124,18
org.apache.catalina.ha.tcp.SendMessageData,3,57,80,20,3,0,0.009977103962637906,5
org.apache.catalina.ha.tcp.SimpleTcpCluster,1483,95,95,11,9,10,0.019722614018137154,36
org.apache.catalina.ha.util.IDynamicProperty,,,,0,4,0,0.009786154403769481,2
org.apache.catalina.loader.Constants,,,,,0,0,-2.0,2
org.apache.catalina.loader.JdbcLeakPrevention,,,,0,1,0,4.9E-324,4
org.apache.catalina.loader.Reloader,,,,0,3,0,0.010250569476082003,0
org.apache.catalina.loader.ResourceEntry,,,,,0,0,-2.0,5
org.apache.catalina.loader.StandardClassLoader,,,,,2,0,0.008973080757726818,5
org.apache.catalina.loader.StandardClassLoaderMBean,,,,,0,0,-2.0,5
